Convinaciones: 	antes	imagen	despues
LP	lupa	lophius	lupa
LQ	rastas	lokillo	reirse como maluma
LR	guantes rojos (en cumbamba)	lord	espejito espejito 
LS	chuzos en el pelo	lisa simpson	tocar el sacsofon
LT	arcoiris en la cola	little pony	sale cuerno de unicornio
LU	lulo	luigi	posicion de vuelo 
LV	pañuelo	levi	lamber espada
LW	palo espada	law	muestra mano con letras
MA	martillo	martillo	con el piso
MB	osito de peluche	mister bean	cara graciosa rasca cabeza
MC	flecha demadera (cudaradra)	minecraft	crafteando
MD	cabello lambido	mordecai	oooooou
ME	pistola de agua	megamente	infla cabeza
MF	camisa con puntos negros	mafalda	se acuesta a leer
MG	chupete	maggie	orinar
MH	cabello alto	marge	junta brazos y alza pierna derecha 
MI	microfono	minimi	meñique en boca (anillo)
MJ	bata de monja	milhouse	voltea cabeza y asusta
MK	orejas de raton	mickey mouse	"entonces vallase a la verga"
ML	malumeta	maluma	"pa pasarla bien"
MN	gafas de un solo ojo	miniom	sin brazos 
MO	ojos muy afuera	momo	sonrie hasta las orejas
MP	pestañas grandes	muppets	se lo quitan (era marioneta)
MQ	gorro de duende	muquii	hacha al hombro
MR	gorro con bendas	mr popo	se convierte en negro
MS	vestido rosado	masha	se pone roja (cachetes)
MT	moto	matilda	tumba baso de agua
MU	pesas de manos	musculoso	ooouuuuu
MV	medias veladas (rallas rojas)	mavis	rie como vampiro
MW	mano con 3 dedos (mewtwo)	moe	recibe llamada 
NA	ojeras naranjadas	naruto	correr como naruto
NB	barba de libro	nabucodonosor	entra en nebera
NC	tatuaje naci (mano)	persona a blanco y negro	mano en barriga y otra arriba
ND	manos amarradas	nidoran	amarra (otro personaje)
NE	posicion fetal	neymar	sancadillas (otro personaje)
NF	boso sostenido de un pelo	ned flanders	una mano gancho y la otra saluda
NG	negro	nagato	ondas en los ojos
NH	hablando sin hablar	nach	saltar rap
NI	gruñe	i ninja	tira estrellas
NJ	naranja	naranja molesa	manos tijera en ojos
NK	camisa nike	nakoruru	aguila en mano
NL	sombra	nala	pescado con patacon
NM	aletas	nemo	cae red de pesca
NO	costal al hombro	noel	se va en carrosa 
NP	barba ssj	nappa	daña piedra aprentandola
NQ	ojos verdes	niqab	pone a girar oreja
NR	nariz espada (narval)	nury	toma leche (tarro de gaseosa)
NS	camisa de la nasa	nasus	espadaso y ambiente morado
NT	borrador	natsu	ahorca con corbata
N+U	cebollas en pies	nuzleaf	nutela en boca
NV	extrella en cara 	nova	posicion ronaldo (manos poder)
NW	movimiento uniforme	newton	probando accion y reaccion
OA	botella de agua	aome	se sienta y abraza piernas
OB	lana en el cuerpo	obelix	se rie con la mano de arriba para abajo
OC	garra en la espalda	octopus spiderman	se pone el oculus rift
OD	cachos	odubel herrera	cachos con mano
OE	camisa OE	german	come obleas
OF	boton de apagar en pecho	oof	desparraman en sofa
OG	vino con ojo	shrek	saca verde de orejas
OH	sombrilla	ophanimon	hace OH
OI	sin oidos	oitnb boo	poner la boca en O
OJ	metido en un cristal	extraterrestre futurama	babear
OK	grandes pechos	la roca	hace mano de ok
OL	nariz de zanahoria	olafa	alza cabeza
OM	nalga gigante (de hormiga)	hormiga	se lleva hoja gigante
ON	botella de ron	one punch man	me da un puño
OP	liquipaper	oposicion (suso)	empieza a llover
OQ	abanico	oyuki	en orquesta
OR	cubo de oro (cuadrito)	ornitorrinco (perry)	sonido de ornitorrinco
OS	canasta de camping	oso (yogui)	recuesta en pared invisible
OT	cascos (audifonos)	otto	escuchar rock con audifonos
OU	cuatro brazos	oruga (bichos)	salen alas de mariposa
OV	trapo al hombro	obvidio	pocision para foto
OW	trebol en camisa	owen wilson	vomito gigante
PA	orejas alrevez	sr papa	se le caen las orejas y ojos 
PB	fajo de billetes	pablo escobar	saca placa de prision
PC	media en cabeza	pacman	movimiento gif (pacha)
PD	vestido naranja con manchas negras	pedro picapiedra	se va en carro
PE	peinilla grande	peppa ping	peinarse
PF	correa con cangrejo	pafman	se perfuma
PG	grano en la nariz	pegajoso	saca la lengua hasta el piso
PH	tornillos en manos y pies	pinocho	se le crece la nariz 
PI	solo dos dedos	piolin	tocar piano
PJ	cartoon paja	pajaro loco	se rie a lo loco
PK	cola de picachu	pikachu	impactrueno
PL	hamburguesa	pilon	hace hueco con pala
PM	pluma	pumba	acuesta a acariciar barriga
PN	nepe	papa noel	armar arbol navideño
PO	pipa de popeye	pocoyo	disfras de pollo (toy story)
PQ	lunar en cumbamba	paquita la del barrio	aplasta rata
PR	ozz	puro hueso	sale serpiente del ojo
PS	lleno de mugre	spot	caminar como simio
PT	pantalones rojos	pitufo	llegan  todos los pitufos
PU	tetaculos	pulpo (Davy Jones)	escupe naranjado por debajo y flota
PV	sin nariz	pavo real	abre flor atrás
PW	casco de ranger rojo	power ranger	llegan los demas power rangers
QA	guitarra	qaqash	toca guitarra
QB	2x2	qebrus	pasan triangulos por encima
QC	cocacola	cacha	rapear muy agachado
QD	bandera de republica dominicana	kdt	"valles-ta de van helsin"
QE	caja de chococrispis	tigre de zucaritas	comiendo cereales
QF	cofre del tesoro	pirata	tira monedas para arriba
QG	geringa	incognito	se inyecta
QH	remolacha	qaholom	leyendo peridico (q´hubo)
QI	tabla con colgantes en cabeza	qin shi huang	sale dragon y se lo come 
QJ	trapo en cabeza (solo se ve cara)	qajar	mete papel en  buson de quejas
QK	qk	quaker (tipo)	terna en remix
QL	ql 	qalupalik	hace ollo en hielo y se mete
QM	arepa	quimera	sale corriendo por que se quemo
QN	cabello de muñeco	ken	modelar
QO	boca cellada con cuerda	cocodrilo	mordisco gigante
QP	botella de vino	qop	brinda con…
QR	queso crema	qurupeco	se le infla en cluello
QS	quesito	qishi	desprende rosas
QT	cabello chuzos	quetza	se traga a…
QU	veneno en sprit	cucaracha	se cubre de cucarachas
QV	5x5	gaviria	hace como negro de whatssap
QW	codal	"personajes qw"	planear piso (cemento) con codal
RA	palo ese para revolver arina	ratatouille	remover arina con palo
RB	fuego de las piernas	robot boy	se prepara para foto de espaladas
RC	pelo azul	rick	abre los ojos de morty
RD	cinta roja en pie y mano izquierda	raditz	reciben rayo de poder de picoro
RE	manos muy cerca	rex	derota a zurg con la cola
RF	refrigerio 	rafiki	alza a simba
RG	pez de ule	rango	agarra mosca con lengua
RH	cejas en forma de rayo	rey helado	saca pingüino de barba
RI	delantal rojo	rio (la casa de papel)	se baja la mascara
RJ	reloj	riju	se hunde en arena movedisa
RK	escopeta gigante	rokka no yuusha	se vuela la cabeza de escopetaso
RL	relampago	ralph	cabezaso a la pared
RM	gorra de don ramon	don ramon	tira gorra al piso
RN	ojos en la cabeza	randall	cambia de color a (blanco)
RO	camisa de juventus	cristiano ronaldo 	parado de combrar penal
RP	cabello gigante	rapunzel	pasarse el pelo por los genitales
RQ	vestido de baño	raquel	bailar en tuvo
RS	rosa	roshi	bajar gafas hasta boca
RT	control de ps2	rigby	se muerde los labios
RU	brazo de thor	Rubius	bailar al lado de un basurero
RV	diamante en frente	raven	pone ojos blancos
RW	arma roja	rwby	baila regueton con…
SA	coletas grandes (hasta piso)	saya	se abre de piernas (elasticidad)
SB	venas de cerebro	saibaman	explota
SC	cara rayada	 sucio de snoopy	saca punta a lapiz
SD	dos dientes	sid	vuela con cohete
SE	una pistola en cada mano	selene	saca colmillos y muerde a…
SF	vestido (parece hongo)	sofia	salen mariposas de atrás
SG	píernas de caballo	sagitario	sangra fuertemente
SH	esfera del dragon	shenglong	sale shenglon
SI	torso de sirena	sirena	erupta pez
SJ	aritos	gogeta ssj	se separan en los dos…
SK	camisa amarrada en barriga	supremo kaiosama	se arranca las orejas
SL	collar (rojo y luna alrevez)	sailor moon	sale el sol
SM	en semaforo	sumo	come tierra
SN	sandia	sony	da vueltas en rueda para hamsters
SO	bola roja en cabeza	chaoz	señalar con los dos pulgares y flotar
SP	capa	superman	vuela de para abajo
SQ	colgado	squirtle	anda como cagada
SR	lunar de medio cachete	sara	mueve culo pa video
ST	cachos (satan)	santos	queda estatua
SU	medias cambiadas	suso	lo lustra…
SV	el cabello son rayas	seven up	silva
SW	espiral rojo en cachetes	saw	apaga tv
TA	en un arbol	tarzan	se culga de rama
TB	tabaco	tabla	se le desaparece la boca
TC	taco de billar	tico (dora la exploradora)	juega billar
TD	checheres debajo de camisa	 tadeo jones	taladrar
TE	tatuaje de z en hombro	tekken	se toma un té
TF	fantasmal	tufo	se desbanece
TG	mariposa en la cabeza	tiger	saltando en la cola
TH	cumbamba arrugada	thanos	le caen tachas infinitas
TI	tercer ojo	tien	poder de triangulo iluminati
TJ	tijera	toji suzuhara	se remanga buso
TK	bosal	tokyo ghoul	tukan lo pica
TL	logo de rcn por ahí	tal cual	habla por telefono con..
TM	pies blancos	tom	persigue raton
TN	bolas en los pies	tinkerbell	juega tenis de mesa
TO	gorro de helicoptero	tio granpha	pee arcoiris
TP	tapa de cocacola	topo	quita tapa de alcantarilla y se mete
TQ	en carro tanque	tiqui	se mete a tanque de la casa
TR	cabello de trunks	trunks	troll face
TS	tasa	tansmania	remolino en los pies
TU	tuvo de pbc	tuerto (era de hielo)	se mete en un tuvo de mario bros
TV	en tv	tivuron	abre la boca y tiene 3 dientes*cada 1
TW	Placa de 100k subs	town	apaga la luz
UA	bandera de usa	uma	se caen extenciones
UB	abdomen	uub	saca del escenario a… (-> -> [ ] )
UC	maraca	murcielago	se cuelga alrevez
UD	pudin	encapuchado (udea)	tira piedras (udea)
UE	camisa con logo de youtube	snood dog	estrellas rodeando (union europea)
UF	un pelo morado (grande9	poof	aparece a…
UG	manos mas grandes que el	marvel juggernaut	separa a alguien al medio
UH	al lado de una hoja	quhuru mo	pateas un raton
UI	dientes salidos	los cui	jalar pitillo
UJ	cara en la espalda	yujiro hanma	se atraviesa aguja en las dos manos
UK	sin cejas	cucha	lo tumban con chancla
UL	tula	ultron	se converte en carro
UM	bendaje	momia	se limpia el qlo
UN	smoking	unikitty 	quimicos en tarro
UO	cuerno en frente	unicornio	vuela en forma de arcoirirs
UP	manguera en mano	 up (viejo)	vuela con globos
UQ	galleta	ruqui	salen letras de meme
UR	aritos ostras	ursula	dos pirañas (una en cada mano)
US	usb	usain bolt	le roba el celular a…
UT	mano tatuada	uta ghoul	saca los ojos
UV	uvas	Rubius	se tira un gato (parkour)
UW	boca en forma de w	uwu meme	caja en cabeza
VA	manos flacas	vanesa	 fuck you
VB	camida de banbo bbva	publicidad bbva 	estalla botella de vodka
VC	gancho	victor	calvaso a …
VD	tuvo amarillo en el pelo	videl	rasca la  pierna
VE	araña en el pecho	venom	se auto come
VF	la control señal (de ps2)	vofan	cachetada a..
VG	M en frente	vegeta	crece pelo azul (ssj blue)
VH	vhs caset	ryder (vhs)	toma y cae
VI	con viruela	villano de virtual hero	sale de un pc a la vida real
VJ	con baston	viejo	se le cae la caja de dientes
VK	manchas en la cara	vaca lola	saca leche del hombligo
VL	vela	vilma	se quita la mascara y es…
VM	las orejas son alas de murcielago	vampirita	alza las manos y aparece luna atrás
VN	derecho	van helsing 	en el espejo no hay nada
VO	la mano es un perro	voltron	se arranca un pie y lo alza
VP	diamante en medio del pecho	viper	le sale vapor por las orejas
VQ	pantalones vaqueros	jessie	captura a… (vaquera)
VR	varilla	verde (transilvania)	se divide bastante
VS	visco	aczino (visco)	flechas de visto
VT	trofeo de redbull	valles t	paso del robot
VU	bandera de venezuela	muñecos vudu	le sale algodón
VW	trapo colgado del cuello (por detrás)	viewtiful joe	sale volando la correa
WA	logo de whatssap en camisa	walls	escribe en chino
WB	sale en circulo (leon wb )	collote	juega pool live tour
WC	tapa de baño colgada	wc (pelea de raperos)	ganas de orinar
WD	se asoma en ventana	wade wilson	mete la cabeza en aceite hirviendo
WE	hacha	wendy (gravity fall)	llegamos nosotros..
WF	modem 	wifi ralf (niña)	tira wolfito
WG	wigeta	wigetta (cualquiera)	se besa con…
WH	ojos amarillos	white tiger 	llegan letras de el lado
WI	pelo rojo	windygilk	persigue a…
WJ	cerebro sobresale de cabeza	wojak	juga ouija con…
WK	calvo y negro	wakanda	guaca
WL	llantas 	encapuchado (udea)	organiza basura
WM	rodea luz 	wonder woman	se quita toda la ropa
WN	corona de padrino magico	wanda	se come las uñas
WO	mundo en las manos	Woody	alza pies y dice andy
WP	nariz de payaso	jp	hablar al lado de micro (youtube)
WQ	con un waqra	guacamalla	grita descontrolada mente (miguel)
WR	gorra amarrilla con W	wario	se para en podium y muestra  musculo
WS	narizon	wos	preparado para campeonar con…
WT	escoba	witch	se va volando (bruja)
WU	manos por todo el cuerpo	wurmple	se desaparece
WV	sangre en boca	werewolf	luna y se converte en lobo
